time,q1 (left cable),q2 (right cable)
0.0,9.433981132056603,5.385164807134504
0.03155778894472362,9.33812942437068,5.319996006800212
0.06311557788944724,9.155908455692884,5.3096850237720945
0.09467336683417087,8.898317580666523,5.369276924884423
0.1262311557788945,8.580974482234533,5.511986059925508
0.1577889447236181,8.223793812112065,5.745095393398426
0.18934673366834173,7.850289760670027,6.067084068874069
0.22090452261306537,7.48629734276458,6.46714417299348
0.252462311557789,7.1578745897147495,6.9269096408458255
0.2840201005025126,6.8882788440160985,7.423249164143225
0.3155778894472362,6.694344591263457,7.9309987149953844
0.34713567839195986,6.583262172031796,8.425088681615353
0.37869346733668346,6.551158769776763,8.88201893135642
0.4102512562814071,6.5843721919824265,9.280841891926412
0.44180904522613074,6.663005253008743,9.603823938779309
0.47336683417085434,6.765310574721354,9.83689929373908
0.504924623115578,6.871465803430249,9.969975916697493
0.5364824120603016,6.9660358299645155,9.99711773714932
0.5680402010050252,7.039117469168502,9.916610063197414
0.5995979899497488,7.0864686387492135,9.730908975952214
0.6311557788944724,7.1089287204584615,9.446475910482532
0.6627135678391961,7.111338678188691,9.073502195086556
0.6942713567839197,7.10109448724488,8.625533090373564
0.7258291457286433,7.086459862070077,8.119005428423618
0.7573869346733669,7.074819164144486,7.572715789882755
0.7889447236180905,7.071129547349786,7.007234950658493
0.8205025125628141,7.076869550664977,6.444275237825592
0.8520603015075378,7.089722425414009,5.9059951675244715
0.8836180904522615,7.104071652149079,5.414187151351885
0.9151758793969851,7.112188604630072,4.98925091859175
0.9467336683417087,7.105850956928243,4.648858753036213
0.9782914572864323,7.078096261223518,4.406367271789795
1.009849246231156,7.024868180880285,4.269374191018959
1.0414070351758795,6.946390746250727,4.239133246917523
1.0729648241206031,6.84814914971377,4.3113336902704305
1.1045226130653267,6.741331929428494,4.477918133664604
1.1360804020100503,6.642502977390534,4.728918246518639
1.167638190954774,6.572182358358675,5.053467913569866
1.1991959798994976,6.55206934822779,5.439903926723768
1.2307537688442212,6.6010385532661955,5.875403753383132
1.2623115577889448,6.730799001691692,6.345655323642207
1.2938693467336686,6.942748376649592,6.834828084813911
1.3254271356783922,7.227319657950595,7.325887734059567
1.3569849246231158,7.565918295288818,7.801175400721153
1.3885427135678394,7.934352323114583,8.243141775949994
1.420100502512563,8.306382354060306,8.635141823512368
1.4516582914572866,8.656544804764097,8.962222424509903
1.4832160804020103,8.962047630762951,9.211858500493003
1.5147738693467339,9.20389733817027,9.374609417042452
1.5463316582914575,9.367496559152977,9.444677941710014
1.577889447236181,9.442901525117584,9.420360445080478
1.6094472361809047,9.42485547344019,9.304380076165053
1.6410050251256283,9.312658639700889,9.104093317114422
1.672562814070352,9.109903259189213,8.831551493537688
1.7041206030150755,8.824086803625457,8.503376884277968
1.7356783919597991,8.466111766163777,8.140370900031073
1.767236180904523,8.049681194384005,7.766706308830925
1.7987939698492466,7.5906037418011465,7.4084841778120945
1.8303517587939702,7.106030079475712,7.091427287548625
1.8619095477386938,6.613655345831006,6.837671256471481
1.8934673366834174,6.130941689321814,6.662121608136026
1.925025125628141,5.674440659671041,6.569516227578759
1.9565829145728646,5.259319598578486,6.553573334787718
1.9881407035175882,4.899196266378696,6.598863614793558
2.019698492462312,4.606319974555463,6.684694996794268
2.0512562814070354,4.39196540780174,6.789465462886259
2.082814070351759,4.266655328734906,6.894174531068598
2.1143718592964826,4.239684804574675,6.9845723328163825
